"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"	"43"	"44"	"45"	"46"	"47"	"48"	"49"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"60"	"61"	"62"	"63"
"A4GNT"	0.513625426148775	0.228173839708532	0.228173839708532	0.39396595386146	0.228173839708532	0.228173839708532	0.228173839708532	0.228173839708532	0.228173839708532	0.228173839708532	0.228173839708532	0.228173839708532	0.228173839708532	0.466607371087576	0.228173839708532	0.228173839708532	0.228173839708532	0.458418745897691	0.228173839708532	0.83374952903428	0.228173839708532	0.228173839708532	0.228173839708532	0.429508442899591	0.228173839708532	0.228173839708532	0.228173839708532	0.228173839708532	0.228173839708532	0.228173839708532	1.8503752196343	0.228173839708532	0.228173839708532	0.228173839708532	0.228173839708532	0.228173839708532	0.228173839708532	0.42954487341601	0.839077409472992	0.370981699139976	0.467679938116516	0.228173839708532	0.308728821607972	0.228173839708532	0.228173839708532	0.533474904626104	0.228173839708532	0.307525397754166	0.228173839708532	0.228173839708532	0.228173839708532	0.228173839708532	0.228173839708532	0.228173839708532	0.412968018987301	1.24169405291029	0.228173839708532	0.381494297506892	0.228173839708532	0.534329393708655	0.228173839708532	0.228173839708532	0.228173839708532
"ABCB4"	0.97419175680959	0.710179587102196	3.58328956091907	2.12222762168807	0.565068908548519	0.893534988191385	3.25149257712894	0.557318307045229	0.889098810652182	0.579071339161702	0.84487486368021	0.92475946996821	0.994663185698454	0.471786171934586	0.396393135412946	0.838036562347526	0.515113787824302	0.765358912415	0.987269956766108	0.780304378631598	4.16761504133255	0.908383242898749	0.954144739913191	0.720345091761169	0.568600424780191	3.79363810184763	0.646847964039345	0.957285976578201	2.27179034591956	1.25210435837489	3.91968969102899	0.396393135412946	0.574631333365577	3.77343846270686	0.787129572887402	0.396393135412946	1.10700880849971	0.54870045618787	0.49927118922755	0.780345098749056	0.763068902290301	0.783271937341981	2.5412781971554	0.593752758750168	0.45992445212248	4.2840689331595	0.662038941788627	2.52099760885181	1.29941339744638	0.479860977878833	0.874676021973127	2.25447992045732	0.909129668160952	3.90255489983125	0.720831966476653	1.08501307049265	1.08508311662557	0.487483601908949	4.20517004918532	0.795847813694784	0.560627266352807	1.01786330577565	0.66413824734251
"ABCC4"	2.89763492758904	2.0868993342394	0.818682313110785	2.27176901406972	1.60316323297834	2.3695675695106	1.45504636457954	2.17874698526934	1.74253694563038	1.7478724490014	1.90511272720663	2.15659118599358	1.37303906089256	2.80706163113914	2.57950967986423	1.81089477866817	1.05583408921664	2.38631734387717	1.93546342315829	1.40128362156129	0.79285059741006	2.17429057138085	1.68631923936125	1.9941526606534	2.09668590106221	0.68638497093175	1.89362714134134	2.19022558531143	2.33964624884224	1.93562664832077	2.66540289846678	1.73410135702416	1.80758332538958	1.08315792859078	2.04926090975032	2.1056574020059	2.07711641709143	1.4635094027523	2.30403896232311	1.25960352686386	1.41113348304934	1.10042150115108	1.44593996501891	2.02249332615404	2.51126430237638	0.68495316066291	0.944675589974488	1.34183054547688	0.939110368272013	2.69689527514142	1.38560935816478	2.09246319763862	2.33873540257215	0.638399192560638	1.14830736578517	2.09734101198512	1.62758111134636	1.70880137978942	1.03652231619724	1.91414374801765	1.6269200465787	1.820800809451	2.75392240771143
"ABCF2P1"	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.118555978514844	0.0357226588715063	0.0357226588715063	0.0761323863706867	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.414081223016488	0.109261378014461	0.188608932213179	0.0357226588715063	0.0357226588715063	0.12692430076445	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.881345849945886	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.159425227904709	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.192126332686795	0.0357226588715063	0.0761912664410185	0.099880853552187	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.0357226588715063	0.289861699707423	0.196129319386454	0.0357226588715063	0.0357226588715063	0.191056832928857	0.0357226588715063	0.0357226588715063	0.0357226588715063
"ABCG2"	1.86708197858695	0.166083908730263	0.219719538947334	0.222310743301177	0.36472287639353	0.706492830730244	0.35999336333042	0.551012640744812	0.667946953029164	1.07968797607002	0.833281026612987	0.752576773036685	1.79477574024609	1.05298031818083	1.06771418132738	0.71855742289289	0.581528604193727	1.3726941397842	0.459254718513253	1.23054820873603	0.198222484656379	0.965320967913671	1.77404670020903	0.761547698391513	1.68475319781979	0.273866344685112	0.881681455532865	0.591876683301078	0.148914450380013	1.09600462356389	1.09964134711383	0.855825604312848	0.671908978952538	0.126874901493517	1.12576095884089	0.806952108360623	0.760560908385145	1.54659243978978	1.18401044910838	1.80932715859492	0.990787096771466	0.159907610865157	0.0973739991776533	0.810046586886469	0.716990152427902	0.242725436331817	1.42582042488937	0.108271487041868	1.77447752780778	1.18817073676333	0.875581626412735	0.0821057335171401	0.707136585161754	0.196733181329715	1.24509709520963	0.68464000922161	0.51166952352081	0.724739104126308	0.172665400561469	1.51915895199169	1.17043182554249	0.64012181471846	1.53595998998205
"ABHD2"	3.5118504725686	4.57640906389182	3.36774638790611	3.13871699432617	3.7999389514338	2.77095032409201	3.48095609048822	2.39056541452013	3.91688723624498	3.74147909525808	3.71507908105169	4.41032065189476	3.20425696858549	3.41187001399509	3.46268940621772	4.12790482965137	3.18323238763855	4.28596446916219	4.00827465441746	3.64676985197997	2.95128680802154	3.49447531462379	4.14560297338685	3.92434040143693	2.82079108795288	3.22349450683072	2.82930358968621	2.57099693859631	3.49888585471607	3.86755555829792	3.51987424342286	3.19174417949173	4.17385724240107	4.02996072240851	3.80037871973543	4.12570086361204	2.38744069419057	3.68870544100084	3.71946354897403	3.76622511345299	4.2503452686579	3.85264356022505	3.62598393254977	4.47449865941428	3.45119120107735	3.81273680688077	2.88013897311767	3.53933195184155	3.12922762645053	3.30332227624699	3.57027005225767	2.95847200988697	3.56816223688998	2.61095810488331	3.67817269194422	3.68632248081267	4.36716211281772	2.88340567909435	3.02897070787844	3.78077452377729	3.62301351239506	2.4769756700018	3.90353337432159
"ABHD5"	2.03090294221133	3.09902566410248	2.42905552443091	2.8272744608024	2.25823692426681	2.12801568571513	2.53125211094413	2.48871795694541	1.55710006005361	2.66464571790463	2.75127872630713	2.09754725264021	2.30942372742174	2.17938150669637	1.91044226180947	1.28549559768617	1.89769670917323	3.33063258098318	2.35942052897618	2.40324461520046	2.15557162613888	2.16583124737717	2.46632354464969	3.35287925389022	2.14474322687278	2.29300273098601	2.06596758744574	2.00106934428763	2.86365089203749	2.28685323784226	2.11165490566288	2.05190346194706	2.79200918321445	2.28570575584106	2.41129978422535	3.31578760475553	1.84425113883307	2.39062957907272	2.35854053743128	1.53762256490901	3.40344084769193	2.19869088445963	3.24901352660933	3.25475271190726	1.90865136082378	2.39280318124024	1.14259511528216	3.03937256984825	1.48802716132808	2.35151625670395	2.4338534449589	2.56403520333799	2.49192242021223	2.27710684084922	1.86767673644262	2.40197066883852	2.52938627599972	2.09330771495307	2.16654347018364	2.80814385891636	2.21939697036267	2.23634752925827	2.29881297574666
"ABI1"	3.80771581094649	4.72921540043852	4.11600844349787	4.13582500220287	4.27308528452281	3.53113782049341	4.18980211300252	3.40957305426371	3.75746848285117	4.20492378004399	4.24837772562838	4.30904039977884	3.4657478819254	3.74061250149414	3.67839386429973	3.67767144683382	3.27062772052725	4.86115399708976	4.07656886069919	3.97499969651059	3.77827264869159	4.05384139316854	4.24893042133762	4.94324792448867	3.55352321142992	4.11583230889344	3.70168080603808	3.50350600330908	4.53796647518126	3.97002209344164	3.56228348794467	3.89868760886336	4.20825555663346	4.05172409423478	3.89540018070215	5.06792115055191	3.1562688022591	4.1097517061948	3.77502985875698	3.00129756027973	4.88649721521766	3.92657682165071	3.9872953583222	4.83197999017587	3.59101277990065	3.72458916096981	2.97477782410795	4.03278772388007	3.12926842549054	3.80453662428132	4.06047099280632	4.39227497848865	3.93362043900531	4.24905931800591	3.52945086360162	4.02722341035998	4.16316338148308	3.5344332048901	3.80270593544007	4.05356527826004	3.31122859112154	3.2600460620914	3.91568558925146
"ABT1"	2.49226144554833	3.09577085395553	3.17726581603419	2.56992424575038	2.71824586074963	2.77015300447745	1.95741605114809	2.96892942051394	3.00292855612752	2.78068734781129	2.78043673629014	2.65332233552631	1.96733734699129	2.73228497750718	2.60363178329797	3.12006231144907	1.95108428581821	3.09144984795773	2.60031104791541	2.36147709768295	3.33077789101069	2.32139289793382	2.54753759836044	3.1544679270784	2.36202721125727	2.18796872615869	2.67991216890555	2.60149983889309	2.79392471172825	2.54924858036056	2.19704173706351	2.46645612673416	2.8967627305342	2.38690887208596	2.58381830801693	3.185776394206	2.21144570073299	2.74560217266199	2.39818196288003	2.07041663950884	3.03875318258807	2.11935051710718	2.31072095795541	2.86695889557007	2.73684467278807	2.62969926436525	2.2619144207876	2.2696124403169	2.41677368387161	2.26005762302537	2.66411913338955	1.91364067401788	2.37313435468489	2.81071631386361	2.6768437851019	2.80603005633499	2.81138357198591	2.85060219021371	2.61485268487559	2.33514640012361	2.56030307029248	2.53580277472247	2.70563995299276
"AC008072.1"	2.11413824309579	1.75120102359502	1.80609452076419	2.30365359056484	2.04121226704153	1.61275865138242	2.56548139273312	1.62255399338218	1.7901423376829	1.48447278593774	1.29697441707651	2.07631895900903	1.80592282900352	1.88955663394202	0.353873335012858	1.86448326846008	1.90571966848227	2.39093225190648	2.37589783800718	2.58396611349505	1.04662976930618	2.13085346358343	1.17609176490786	1.30455756938964	2.06872721700051	2.04428833562673	1.73289524727274	1.9374981252015	2.10120245890565	2.09694520960533	4.74065038123457	2.07431640239392	1.00222776360678	1.6246510453919	1.97129775283471	2.45532686749185	2.30901511956852	1.34851869497945	2.0830532172476	1.18649271292332	2.15867441474341	1.91703956090904	2.11943329553532	2.63747388409142	1.51042391970379	1.72654509675549	1.79263183396495	1.99881601042789	1.05283203382165	2.05350557517195	1.27672933531205	1.76515071859355	1.97673988698813	2.4112168449542	1.86192797580457	3.48602452491012	2.60955654221126	1.14618677600594	2.11741386631849	2.30051013640173	1.74480616488012	1.80824115086062	1.95433995850903
